"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"1","Sony Alpha a6300","709","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6","Yes",NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",921600,3,25,"RAW","404","USB 2.0 (480 Mbit/sec)",11,"Yes",1.5,"Yes","Yes","None","Stereo",100,2,0.7,2359296,"Mono","51200",NA,1,"Built-In","No","Yes",120,67,49,393960,"No","Yes","Yes","No","No",19182
"2","Sony Alpha SLT-A68","825","Active","Yes","Battery Pack","Mid-size SLR","Yes","12","Yes",NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",460800,2.7,25,"RAW","610","USB 2.0 (480 Mbit/sec)",8,"Yes",1.5,"Yes","Yes","None","Stereo",100,3,0.88,1440000,"Mono",NA,NA,NA,NA,"No","Yes",143,104,81,1204632,"No","Yes","Yes","No","No",19182
"3","Sony Cyber-shot DSC-RX1R II","830","Active","Yes","Battery Pack","Large sensor compact","No",NA,"Yes",NA,NA,"No","Yes","Yes","No","Yes","2","2","0",1,"Yes",1228800,3,44,"RAW","507","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,5,0.74,2359296,"Mono","102400","50",2,"Built-In","No","Yes",113,65,72,528840,"Yes","Yes","Yes","Yes","No",21608
"4","Sony Alpha 7S II","845","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1228800,3,12,"RAW","627","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,6,0.78,2359296,"Mono","409600","50",3,"Built-In","Yes","Yes",127,96,60,731520,"No","Yes","Yes","No","No",9300
"5","Sony Alpha 7R II","768","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1228800,3,44,"RAW","625","USB 2.0 (480 Mbit/sec)",5,"Yes",NA,"Yes","Yes","None","Stereo",100,5,0.78,2359296,"Mono","102400","50",4,"Built-In","Yes","Yes",127,96,60,731520,"No","Yes","Yes","No","No",21608
"6","Sony Cyber-shot DSC-RX100 IV","768","Active","Yes","Battery Pack","Compact","Yes","10.2","Yes",NA,NA,"No","No","Yes","Optical","Yes","1.8","2.8","1",2.9,"Yes",1228800,3,21,"RAW","298","USB 2.0 (480 Mbit/sec)",16,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.59,2359296,"Mono","25600","80",5,"Built-In","No","No",102,58,41,242556,"Yes","Yes","Yes","Yes","No",17028
"7","Sony Cyber-shot DSC-RX10 II","768","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","10.2","Yes",NA,NA,"Yes","Yes","Yes","Optical","Yes","2.8","2.8","0",8.3,"Yes",1228800,3,21,"RAW","813","USB 2.0 (480 Mbit/sec)",14,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.7,2359296,"Mono","25600","64",1,"Built-In","Yes","Yes",129,88,102,1157904,"Yes","Yes","Yes","Yes","No",17028
"8","Sony Cyber-shot DSC-HX90V","651","Active","Yes","Battery Pack","Compact","Yes","5.4","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.5","6.4","2.9",30,"Yes",921000,3,21,"No","245","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",100,NA,0.5,638400,"Mono",NA,NA,6,"Built-In","No","No",102,58,36,212976,"Yes","Yes","Yes","Yes","No",15470
"9","Sony Cyber-shot DSC-WX500","651","Active","Yes","Battery Pack","Compact","Yes","5.4","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.5","6.4","2.9",30,"Yes",921000,3,21,"No","236","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,6,"Built-In","No","No",102,58,36,212976,"Yes","Yes","Yes","Yes","No",15470
"10","Sony Alpha 7 II","822","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1230000,3,25,"RAW","599","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,8,0.71,2359000,"Mono",NA,"50",7,"Built-In","Yes","Yes",127,96,60,731520,"No","Yes","Yes","No","No",19182
"11","Sony Cyber-shot DSC-QX30","864","Active","Yes","Battery Pack","Compact","No",NA,"No",NA,NA,"No","No","No","Optical","Yes","3.5","6.3","2.8",30,"Yes",NA,NA,21,"No","193","USB 2.0 (480 Mbit/sec)",10,"No",NA,"No","No","None","Stereo",NA,NA,NA,NA,"None",NA,NA,8,"Built-In",NA,NA,68,65,58,256360,"Yes","Yes","Yes","Yes","No",17010
"12","Sony Alpha QX1","864","Active","Yes","Battery Pack","Compact","Yes","4","Yes",NA,NA,"No","No","No","No","Yes",NA,NA,NA,NA,"Yes",NA,NA,20,"RAW","216","USB 2.0 (480 Mbit/sec)",3.5,"No",1.5,"No","No","None","Stereo",NA,7,NA,NA,"None",NA,NA,9,"Built-In",NA,NA,74,70,53,274540,"No","No","Yes","Yes","No",16768
"13","Sony Alpha a5100","665","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","4","Yes",NA,NA,"No","No","Yes","No","Yes",NA,NA,NA,NA,"Yes",921600,3,25,"RAW","283","USB 2.0 (480 Mbit/sec)",6,"Yes",1.5,"Yes","Yes","None","Stereo",NA,9,NA,NA,"Mono",NA,NA,1,"Built-In","No","No",110,63,36,249480,"No","Yes","Yes","No","No",19182
"14","Sony Cyber-shot DSC-RX100 III","804","Active","Yes","Battery Pack","Compact","Yes",NA,"Yes",NA,NA,"No","No","Yes","Optical","Yes","1.8","2.8","1",2.9,"Yes",1228800,3,20,"RAW","290","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.59,1440000,"Mono","25600","80",10,"Built-In","No","No",102,58,41,242556,"Yes","Yes","Yes","Yes","No",17028
"15","Sony SLT-A77 II","800","Active","Yes","Battery Pack","Mid-size SLR","Yes","12","Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1229000,3,25,"RAW","647","USB 2.0 (480 Mbit/sec)",12,"Yes",1.5,"Yes","Yes","None","Stereo",100,3,1.09,2359000,"Mono","51200","50",11,"Built-In","No","Yes",143,104,81,1204632,"No","Yes","Yes","No","No",19182
"16","Sony Alpha 7S","660","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",921000,3,12,"RAW","489","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,7,0.71,2400000,"Mono",NA,"50",13,"Built-In","Yes","Yes",127,94,48,573024,"No","Yes","Yes","No","No",9300
"17","Sony Cyber-shot DSC-W800","691","Active","No","Battery Pack","Compact","Yes","3.5","Yes",NA,NA,"No","No","No","Optical","Yes","3.2","6.4","3.2",5,"Yes",230000,2.7,20,"No","125","USB 2.0 (480 Mbit/sec)",1,NA,NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,50,22,54,59400,"No","Yes","No","Yes","No",16750
"18","Sony Cyber-shot DSC-WX350","147","Active",NA,"Battery Pack","Compact","Yes","4.3","Yes",NA,NA,NA,NA,NA,"Optical","Yes","3.5","6.5","3",20,NA,460000,3,21,"Unknown","137","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,NA,NA,"None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,NA,"Built-In",NA,NA,96,55,26,137280,"No","Yes","Yes","Yes","No",15470
"19","Sony Cyber-shot DSC-H400","691","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","8.8",NA,NA,NA,NA,NA,"Yes","Optical",NA,"3.4","6.5","3.1",63.3,NA,460000,3,20,"Unknown","628","USB 2.0 (480 Mbit/sec)",0.7,"Yes",NA,"Yes","Yes","None","Mono",100,NA,NA,201000,"Mono",NA,NA,14,NA,"No","No",130,95,122,1506700,"No","Yes","No","Yes","No",16750
"20","Sony Cyber-shot DSC-H300","691","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","8.8",NA,NA,NA,NA,NA,"Yes","Optical",NA,"3.4","6.5","3.1",35,NA,460000,3,20,"Unknown","590","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"Yes","Yes","None","Mono",100,NA,NA,201000,"Mono",NA,NA,7,NA,"No","No",130,95,122,1506700,"No","Yes","No","Yes","No",16750
"21","Sony Cyber-shot DSC-WX220","690","Active","No","Battery Pack","Ultracompact","Yes","3.7","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.3","5.9","2.6",10,"Yes",460000,3,19,"No","121","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"No","Yes","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,15,"Built-In","No","No",92,52,22,105248,"Yes","Yes","Yes","Yes","No",15470
"22","Sony Alpha a6000","690","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6","Yes",NA,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",921600,3,25,"RAW","344","USB 2.0 (480 Mbit/sec)",11,"Yes",1.5,"Yes","Yes","None","Stereo",100,9,0.7,1440000,"Mono",NA,NA,17,"Built-In","No","No",120,67,45,361800,"No","Yes","Yes","No","No",19182
"23","Sony Cyber-shot DSC-HX400V","690","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","8.5","Yes",NA,NA,NA,"Yes","Yes","Optical","Yes","2.8","6.3","3.5",50,NA,921000,3,21,"Unknown","660","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",100,NA,8.1,NA,"Mono",NA,NA,14,"Built-In",NA,NA,130,93,103,1245270,"Yes","Yes","Yes","Yes","No",17010
"24","Sony Alpha a5000","751","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","4","Yes",NA,NA,"No","No","Yes","No","Yes",NA,NA,NA,NA,"Yes",460800,3,20,"RAW","269","USB 2.0 (480 Mbit/sec)",3.5,"Yes",1.5,"Yes","Yes","None","Stereo",NA,7,NA,NA,"None",NA,NA,17,"Built-In",NA,NA,110,63,36,249480,"No","Yes","Yes","No","No",16768
"25","Sony Cyber-shot DSC-W830","751","Active","No","Battery Pack","Ultracompact","Yes","2.8","Yes",NA,NA,"No","No","No","Optical","Yes","3.3","6.3","3",8,NA,230000,2.7,21,"No","122","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,93,52,23,111228,"No","Yes","No","Yes","No",16750
"26","Sony Cyber-shot DSC-W810","751","Active","No","Battery Pack","Ultracompact","Yes","3.2","Yes",NA,NA,"No","No","No","Optical","Yes","3.5","6.5","3",6,NA,230000,2.7,21,"No","111","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,8,NA,"No","No",97,56,21,114072,"No","Yes","No","Yes","No",16750
"27","Sony Alpha 7R","831","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",1230000,3,37,"RAW","465","USB 2.0 (480 Mbit/sec)",4,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.71,2359000,"Mono",NA,"50",18,"Built-In","Yes","Yes",127,94,48,573024,"No","Yes","Yes","No","No",21024
"28","Sony Alpha 7","831","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",1230000,3,25,"RAW","474","USB 2.0 (480 Mbit/sec)",5,"Yes",NA,"Yes","Yes","None","Stereo",100,8,0.71,2359000,"Mono",NA,"50",18,"Built-In","Yes","Yes",127,94,48,573024,"No","Yes","Yes","No","No",19182
"29","Sony Cyber-shot DSC-RX10","831","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","10.2","Yes",NA,NA,"Yes","Yes","Yes","Optical","Yes","2.8","2.8","0",8.3,"Yes",1228800,3,21,"RAW","813","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.7,1440000,"Mono","25600","80",17,"Built-In","Yes","Yes",129,88,102,1157904,"Yes","Yes","Yes","Yes","No",17028
"30","Sony Cyber-shot DSC-QX10","866","Active","No","Battery Pack","Compact","No",NA,"No",NA,NA,"No","No","No","Optical","Yes","3.3","5.9","2.6",10,"Yes",NA,NA,19,"No","105","USB 2.0 (480 Mbit/sec)",NA,"No",NA,"No","No","None","Stereo",NA,NA,NA,NA,"None","12800",NA,2,"Built-In",NA,NA,62,62,33,126852,"No","Yes","No","Yes","No",15470
"31","Sony Cyber-shot DSC-QX100","866","Active","Yes","Battery Pack","Compact","No",NA,"No",NA,NA,"No","No","No","Optical","Yes","1.8","4.9","3.1",3.6,"Yes",NA,NA,21,"No","179","USB 2.0 (480 Mbit/sec)",NA,"No",NA,"No","No","None","Stereo",NA,NA,NA,NA,"None","25600",NA,8,"Built-In",NA,NA,63,63,56,222264,"Yes","Yes","Yes","Yes","No",17028
"32","Sony Alpha a3000","93","Active","Yes","Battery Pack","SLR-style mirrorless","Yes","6",NA,NA,NA,"No","Yes","Yes","Optical","Yes",NA,NA,NA,NA,NA,230400,3,20,"RAW","411","USB 2.0 (480 Mbit/sec)",2.5,"Yes",1.5,"Yes","Yes","None","Stereo",100,7,0.7,NA,"Mono",NA,NA,19,NA,NA,NA,128,91,85,990080,"No","Yes","Yes","No","No",16768
"33","Sony Alpha NEX-5T","674","Active","Yes","Battery Pack","Rangefinder-style mirrorless","No","7","No",0,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",921600,3,17,"RAW","276","USB 2.0 (480 Mbit/sec)",10,"Yes",1.5,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,20,"Built-In",NA,NA,111,59,39,255411,"No","Yes","Yes","No","No",13800
"34","Sony Cyber-shot DSC-RX1R","401","Active","Yes","Battery Pack","Large sensor compact","Yes","6","Yes",NA,NA,"No","Yes","Yes","No","Yes","2","2","0",1,"Yes",1229000,3,25,"RAW","482","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono","102400","50",21,NA,NA,NA,113,65,70,514150,"No","Yes","Yes","No","No",19182
"35","Sony Cyber-shot DSC-RX100 II","401","Active","Yes","Battery Pack","Large sensor compact","Yes","15","Yes",NA,NA,"No","Yes","Yes","Optical","Yes","1.8","4.9","3.1",3.6,"Yes",1229000,3,21,"RAW","281","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono","25600","100",7,"Built-In",NA,NA,102,58,38,224808,"Yes","Yes","Yes","Yes","No",17028
"36","Sony Cyber-shot DSC-HX50V","19","Active","Yes","Battery Pack","Compact","Yes","5.6","Yes",NA,NA,"No","Yes","Yes","Optical","Yes",NA,NA,NA,30,NA,921000,3,21,"Unknown","272","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,NA,NA,NA,"Mono","12800",NA,1,"Built-In",NA,NA,108,64,38,262656,"No","Yes","No","Yes","No",12348
"38","Sony Cyber-shot DSC-WX300","177","Active",NA,"Battery Pack","Compact","Yes","4.3","Yes",NA,NA,NA,NA,NA,"Optical","Yes","3.5","6.5","3",20,NA,460000,3,21,"Unknown","166","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,NA,NA,"None","Stereo",NA,NA,NA,NA,"Mono","12800",NA,NA,"Built-In",NA,NA,96,55,25,132000,"No","Yes","No","Yes","No",15470
"40","Sony Alpha NEX-3N","177","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes",NA,"No",NA,NA,"No","No","Yes",NA,"Yes",NA,NA,NA,NA,"Yes",460000,3,17,"RAW","269","USB 2.0 (480 Mbit/sec)",4,"Yes",1.5,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,11,NA,NA,NA,110,62,35,238700,"No","Yes","Yes","No","No",13800
"41","Sony Alpha SLT-A58","177","Active","Yes","Battery Pack","Compact SLR","Yes","10",NA,NA,NA,"No","Yes","Yes","Optical","Yes",NA,NA,NA,NA,NA,460000,2.7,20,"RAW","492","USB 2.0 (480 Mbit/sec)",5,"Yes",1.5,"Yes","Yes","None","Stereo",100,12,NA,1440000,"Mono","25600",NA,16,"Eye-Fi Connected",NA,NA,129,95,78,955890,"No","No","No","No","No",16768
"42","Sony Cyber-shot DSC-WX80","304","Active","No","Battery Pack","Compact","Yes","4.2","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.3","8","4.7",8,"Yes",230000,2.7,17,"No","124","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"No","Yes","None","Stereo",NA,NA,NA,NA,"Mono","12800",NA,22,"Built-In",NA,NA,92,52,22,105248,"No","Yes","No","Yes","No",13899
"43","Sony Cyber-shot DSC-TF1","304","Active","No","Battery Pack","Compact","Yes","3.9","Yes",NA,NA,"Yes","No","No","Optical","Yes","3.6","4.7","1.1",4,"Yes",460000,2.7,16,"No","152","USB 2.0 (480 Mbit/sec)",1,"No",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,22,NA,NA,NA,102,62,23,145452,"No","Yes","No","Yes","No",13899
"44","Sony Cyber-shot DSC-H200","304","Active","No","AA","SLR-like (bridge)","Yes","6.8","Yes",NA,NA,"No","No","No","Optical","Yes","3.1","5.9","2.8",26.4,"Yes",460000,3,20,"No","530","USB 2.0 (480 Mbit/sec)",8,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,22,NA,NA,NA,123,83,87,888183,"No","Yes","No","Yes","No",12348
"45","Sony Cyber-shot DSC-W730","304","Active","No","Battery Pack","Compact","Yes","2.8","Yes",NA,NA,"No","No","No","Optical","Yes","3.3","6.3","3",9,"Yes",230000,2.7,16,"No","122","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,22,NA,NA,NA,93,52,22,106392,"No","Yes","No","Yes","No",13899
"46","Sony Cyber-shot DSC-W710","304","Active","No","Battery Pack","Compact","Yes","2.8","Yes",NA,NA,"No","No","No","Optical","Yes","3.2","6.5","3.3",5,"Yes",230000,2.7,16,"No","114","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,22,NA,NA,NA,97,55,20,106700,"No","Yes","No","Yes","No",13899
"47","Sony Alpha NEX-6","577","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6","No",NA,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,NA,921000,3,17,"RAW","345","USB 2.0 (480 Mbit/sec)",10,"Yes",1.5,"Yes","Yes","None","Stereo",100,NA,1.09,2359000,"Mono",NA,NA,6,"Built-In",NA,NA,120,67,43,345720,"No","Yes","Yes","No","No",13800
"48","Sony SLT-A99","577","Active","Yes","Battery Pack","Mid-size SLR","No",NA,"Yes",0,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1229000,3,25,"RAW","812","USB 2.0 (480 Mbit/sec)",6,"Yes",NA,"Yes","No","BuiltIn","Stereo",100,11,0.71,2359000,"Mono","25600","50",23,NA,NA,NA,147,111,78,1272726,"No","Yes","Yes","No","No",19182
"49","Sony Cyber-shot DSC-RX1","577","Active","Yes","Battery Pack","Large sensor compact","Yes","6","Yes",NA,NA,"No","Yes","Yes","No","Yes","2","22","20",1,"Yes",1229000,3,25,"RAW","482","USB 2.0 (480 Mbit/sec)",5,"Yes",NA,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,21,"Eye-Fi Connected",NA,NA,113,65,70,514150,"No","Yes","Yes","No","No",19182
"50","Sony Alpha NEX-5R","100","Active","Yes","Battery Pack","Rangefinder-style mirrorless","No",NA,"No",0,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",920000,3,17,"RAW","276","USB 2.0 (480 Mbit/sec)",10,"Yes",1.5,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,20,"Built-In",NA,NA,111,59,39,255411,"No","Yes","Yes","No","No",13800
"51","Sony Cyber-shot DSC-RX100","414","Active","Yes","Battery Pack","Large sensor compact","Yes",NA,"Yes",NA,NA,"No","No","Yes","Optical","Yes","1.8","4.9","3.1",3.6,"Yes",1228800,3,21,"RAW","240","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,20,"Eye-Fi Connected",NA,NA,102,58,36,212976,"Yes","Yes","Yes","Yes","No",17028
"52","Sony SLT-A37","475","Active","Yes","Battery Pack","Compact SLR","Yes","12","Yes",NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",230400,2.6,17,"RAW","506","USB 2.0 (480 Mbit/sec)",5.5,"Yes",1.5,"Yes","Yes","None","Stereo",100,12,1.09,1440000,"Mono","25600",NA,23,"Eye-Fi Connected",NA,NA,124,92,85,969680,"No","Yes","Yes","No","No",13800
"53","Sony Alpha NEX-F3","475","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes",NA,"No",0,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",920000,3,17,"RAW","314","USB 2.0 (480 Mbit/sec)",5.5,"Yes",1.5,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,19,"Eye-Fi Connected",NA,NA,117,67,42,329238,"No","Yes","Yes","No","No",13800
"54","Sony SLT-A57","429","Active","Yes","Battery Pack","Compact SLR","Yes","10","Yes",NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,17,"RAW","618","USB 2.0 (480 Mbit/sec)",12,"Yes",1.5,"Yes","Yes","None","Stereo",100,12,1.04,1440000,"Mono","25600",NA,24,"Eye-Fi Connected",NA,NA,132,98,81,1047816,"No","Yes","Yes","No","No",13800
"55","Sony Cyber-shot DSC-H90","207","Active","No","Battery Pack","Compact","Yes","3.7","Yes",27,NA,"No","No","No","Optical","Yes","3.3","5.9","2.6",16,"Yes",460800,3,16,"No","222","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"Yes","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,4,NA,NA,NA,105,60,34,214200,"No","Yes","No","Yes","No",13899
"56","Sony Cyber-shot DSC-HX200V","207","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","12.4","Yes",105,NA,"No","No","Yes","Optical","Yes","2.8","5.6","2.8",30,"Yes",921600,3,19,"No","583","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,NA,NA,NA,"Mono",NA,NA,25,"Eye-Fi Connected",NA,NA,122,87,93,987102,"No","Yes","No","Yes","No",15470
"57","Sony Cyber-shot DSC-HX30V","207","Active","No","Battery Pack","Compact","Yes","7.1","Yes",105,NA,"No","No","Yes","Optical","Yes","3.2","5.8","2.6",20,"Yes",921600,3,19,"No","254","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,4,NA,NA,"Mono",NA,NA,10,"Built-In",NA,NA,107,62,35,232190,"No","Yes","No","Yes","No",15470
"58","Sony Cyber-shot DSC-HX20V","207","Active","No","Battery Pack","Compact","Yes","7.1","Yes",105,NA,"No","No","Yes","Optical","Yes","3.2","5.8","2.6",20,"Yes",921600,3,19,"No","254","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,4,NA,NA,"Mono",NA,NA,10,"Eye-Fi Connected",NA,NA,107,62,35,232190,"No","Yes","No","Yes","No",15470
"59","Sony Cyber-shot DSC-HX10V","207","Active","No","Battery Pack","Compact","Yes","5.3","Yes",19,NA,"No","No","Yes","Optical","Yes","3.3","5.9","2.6",16.7,"Yes",921600,3,19,"No","234","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,4,NA,NA,"Mono",NA,NA,10,"Eye-Fi Connected",NA,NA,105,60,34,214200,"No","Yes","No","Yes","No",15470
"60","Sony Cyber-shot DSC-WX150","207","Active","No","Battery Pack","Compact","Yes","3.7","Yes",19,NA,"No","No","Yes","Optical","Yes","3.3","5.9","2.6",10,"Yes",460800,3,19,"No","133","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,4,NA,NA,"Mono",NA,NA,22,"Eye-Fi Connected",NA,NA,95,56,22,117040,"No","Yes","No","Yes","No",15470
"61","Sony Cyber-shot DSC-W690","207","Active","No","Battery Pack","Compact","Yes","3.3","Yes",27,NA,"No","No","No","Optical","Yes","3.3","5.9","2.6",10,"Yes",230400,3,16,"No","142","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,2,NA,NA,NA,94,56,22,115808,"No","Yes","No","Yes","No",13899
"62","Sony Cyber-shot DSC-TX66","207","Active","No","Battery Pack","Ultracompact","Yes","3.1","Yes",19,NA,"No","No","Yes","Optical","Yes","3.5","4.8","1.3",5,"Yes",1229760,3.3,19,"No","109","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"No","Yes","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,26,NA,NA,NA,93,54,13,65286,"No","Yes","No","Yes","No",15470
"63","Sony Cyber-shot DSC-TX20","207","Active","No","Battery Pack","Ultracompact","Yes","3.7","Yes",19,NA,"Yes","No","Yes","Optical","Yes","3.5","4.6","1.1",4,"Yes",921600,3,17,"No","133","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"No","Yes","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,26,"Eye-Fi Connected",NA,NA,96,56,18,96768,"No","Yes","No","Yes","No",13899
"64","Sony Cyber-shot DSC-TX200V","267","Active","No","Battery Pack","Ultracompact","Yes","3.1","Yes",105,NA,"Yes","No","Yes","Optical","Yes","3.5","4.8","1.3",5,"Yes",1229760,3.3,19,"No","129","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"No","Yes","BuiltIn","Stereo",NA,4,NA,NA,"Mono",NA,NA,2,NA,NA,NA,96,58,16,89088,"No","Yes","No","Yes","No",15470
