"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"938","Canon PowerShot G11","56","Active","Yes","Battery Pack","Compact","Yes","7","Yes",NA,NA,"No","Yes","Yes","Optical","Yes","2.8","4.5","1.7",5,"Yes",461000,2.8,10,"RAW","375","USB 2.0 (480 Mbit/sec)",1.1,"Yes",NA,"Yes","Yes",NA,"Mono",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,76,48,408576,"No","Yes","No","Yes","No",7221
"939","Canon PowerShot SD940 IS / Digital IXUS 120 IS","56","Active","No","Battery Pack","Ultracompact","Yes","4","Yes",NA,NA,"No","No","Yes","Optical","No","2.8","5.9","3.1",4,"Yes",230000,2.7,NA,"No","120","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,"None",NA,NA,NA,NA,NA,NA,89,55,20,97900,"No","Yes","No","Yes","No",9100
"940","Canon PowerShot SD980 IS / Digital IXUS 200 IS","56","Active","No","Battery Pack","Compact","Yes","6.5","Yes",NA,NA,"No","No","Yes","Optical","No","2.8","5.9","3.1",5,"Yes",230000,3,NA,"No","150","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"Yes","Yes","None","Mono",NA,4,NA,NA,"None",NA,NA,NA,NA,NA,NA,100,53,23,121900,"No","Yes","No","Yes","No",9100
"941","Canon PowerShot SX20 IS","56","Active","Yes","AA","SLR-like (bridge)","Yes","6.8","Yes",NA,NA,"No","Yes","Yes","Optical","Yes","2.8","5.7","2.9",20,"Yes",230000,2.5,12,"No","600","USB 2.0 (480 Mbit/sec)",0.7,"Yes",NA,"Yes","Yes",NA,"Stereo",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,88,87,979968,"No","Yes","No","Yes","No",9100
"942","Canon PowerShot SX120 IS","56","Active","Yes","AA","Compact","Yes","3","Yes",128,NA,"No","No","No","Optical","Yes","2.8","4.3","1.5",10,"Yes",230000,3,10,"No","285","USB 2.0 (480 Mbit/sec)",0.9,"Yes",NA,"Yes","Yes",NA,"Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,71,45,354645,"No","No","Yes","Yes","No",7221
"943","Canon EOS 500D (EOS Rebel T1i / EOS Kiss X3)","443","Active","Yes","Battery Pack","Compact SLR","Yes","13","No",0,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",920000,3,16,"RAW","520","USB 2.0 (480 Mbit/sec)",3.4,"Yes",1.6,"Yes","Yes","None","Mono",95,4,0.87,NA,NA,"12800",NA,9,"Eye-Fi Connected",NA,NA,129,98,62,783804,"No","No","Yes","No","No",12636
"944","Canon PowerShot D10","161","Active","No","Battery Pack","Compact","Yes","3.2","Yes",NA,NA,"Yes","No","No","Optical","Yes","2.8","4.9","2.1",3,NA,230000,2.5,NA,"No","190","USB 2.0 (480 Mbit/sec)",1.1,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,67,49,341432,"No","Yes","No","Yes","No",9100
"945","Canon PowerShot SX200 IS","161","Active","Yes","Battery Pack","Compact","Yes","3.2","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.4","5.3","1.9",12,"Yes",230000,3,NA,"No","247","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"Yes","Yes","None","Mono",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,61,38,238754,"No","Yes","No","Yes","No",9100
"946","Canon PowerShot SD960 IS / Digital IXUS 110 IS","161","Active","No","Battery Pack","Compact","Yes","4","Yes",NA,NA,"No","No","Yes","Optical","No","2.8","5.8","3",4,"Yes",230000,2.8,NA,"No","145","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"No","Yes",NA,"Mono",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,54,22,116424,"No","Yes","No","Yes","No",9100
"947","Canon PowerShot SD970 IS / Digital IXUS 990 IS","696","Active","No","Battery Pack","Compact","Yes","3.5","Yes",NA,NA,"No","No","Yes","Optical","No","3.2","5.7","2.5",5,"Yes",461000,3,NA,"No","160","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes",NA,"Mono",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,57,26,142272,"No","Yes","No","Yes","No",9100
